exp,sample_idx,cf_variant,delta_target_terms,delta_opposite_terms,direction_accuracy,net_direction_accuracy,prompt_echo_rate,base_mentions_top1_title,cf_mentions_top1_title,title_drift,text_changed,top1_music_id
exp_01,1207,cf_upbeat_electronic,6,0,1,1,0.6667,1,1,0,1,ItV4NVU0u6I_Ldq1rh8OYuc
exp_01,1207,cf_lyrical_piano,3,0,1,1,0.6667,1,1,0,1,ItV4NVU0u6I_Ldq1rh8OYuc
exp_01,1210,cf_upbeat_electronic,4,0,1,1,0.7143,1,1,0,1,wtM8Nc_Wd6I_ZXUWFFSz3iU
exp_01,1210,cf_lyrical_piano,5,-1,1,1,0.8,1,1,0,1,wtM8Nc_Wd6I_ZXUWFFSz3iU
exp_01,1226,cf_upbeat_electronic,0,0,0,0,0.8333,1,1,0,1,bPrFmJPMP0o_DHNVh_sZawQ
exp_01,1226,cf_lyrical_piano,2,-3,1,1,1.0,1,1,0,1,bPrFmJPMP0o_DHNVh_sZawQ
exp_01,1240,cf_upbeat_electronic,7,0,1,1,0.75,0,0,0,1,xoK_M8O7wPU_9YhLP-WJ7U8
exp_01,1240,cf_lyrical_piano,6,-1,1,1,0.8333,0,0,0,1,xoK_M8O7wPU_9YhLP-WJ7U8
exp_01,1269,cf_upbeat_electronic,5,0,1,1,0.8333,0,1,0,1,0XU02h5NEMI_XnPcy6bS9BE
exp_01,1269,cf_lyrical_piano,5,-1,1,1,0.8,0,1,0,1,0XU02h5NEMI_XnPcy6bS9BE
exp_01,1311,cf_upbeat_electronic,0,2,0,0,1.0,0,0,0,1,y9m3lC50srw_lmFkBpHhWUk
exp_01,1311,cf_lyrical_piano,3,-1,1,1,1.0,0,0,0,1,y9m3lC50srw_lmFkBpHhWUk
exp_01,1322,cf_upbeat_electronic,5,0,1,1,0.6667,0,1,0,1,IUXYhGY9e4E_xcWOviMI6Lk
exp_01,1322,cf_lyrical_piano,8,-1,1,1,0.875,0,1,0,1,IUXYhGY9e4E_xcWOviMI6Lk
exp_01,1333,cf_upbeat_electronic,6,0,1,1,0.625,0,1,0,1,mA7rZps14Zw_meaJ1m4zKGE
exp_01,1333,cf_lyrical_piano,5,0,1,1,0.8,0,1,0,1,mA7rZps14Zw_meaJ1m4zKGE
exp_01,1395,cf_upbeat_electronic,7,0,1,1,0.625,1,1,0,1,fC04fZrQR-M_Za117qjhknc
exp_01,1395,cf_lyrical_piano,5,1,1,0,0.8,1,1,0,1,fC04fZrQR-M_Za117qjhknc
exp_01,1401,cf_upbeat_electronic,5,1,1,0,0.6667,0,1,0,1,LJbfOPW35ek_1hcieZLP0-g
