analysis_setting,prompt_variant,focal_exp,compare_exp,metric_group,metric,metric_label,higher_is_better,n_pairs,focal_mean,compare_mean,mean_improvement_positive_is_focal_better,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_statistic,p_value_raw,wilcoxon_method,p_value_holm,significant_holm_0.05
top1_end_to_end_generation,original,exp_01,exp_06,ranking,R@5,R@5,True,4205,0.6639714625445897,0.4604042806183115,0.20356718192627823,0.18668252080856124,0.2206896551724138,244887.5,8.048174596763065e-108,scipy_wilcoxon,2.736379362899442e-106,True
top1_end_to_end_generation,original,exp_01,exp_06,ranking,R@10,R@10,True,4205,0.7988109393579073,0.6313912009512486,0.16741973840665875,0.15172413793103448,0.18335315101070154,163637.5,2.4282756502487968e-89,scipy_wilcoxon,7.52765451577127e-88,True
top1_end_to_end_generation,original,exp_01,exp_06,ranking,rank,Rank,False,4205,7.9491082045184305,14.797146254458978,6.848038049940547,6.204500594530321,7.510344827586207,1588830.0,2.3159363127831288e-157,scipy_wilcoxon,9.032151619854202e-156,True
top1_end_to_end_generation,original,exp_01,exp_06,generation,bertscore_f1,BERTScore F1,True,4205,0.7525929961916099,0.7183181177988631,0.034274878392746844,0.03259379618658322,0.03597035037475449,1403019.5,0.0,scipy_wilcoxon,0.0,True
top1_end_to_end_generation,original,exp_01,exp_06,generation,infolm_ab_divergence,InfoLM AB,False,4205,2.506864276716561,3.6284683618851794,1.1216040851686184,1.0615428313694968,1.1802821389304772,1686433.0,2.562332951786058e-257,scipy_wilcoxon,1.0761798397501444e-255,True
top1_end_to_end_generation,original,exp_01,exp_06,generation,infolm_l2_distance,InfoLM L2,False,4205,0.2063464893413515,0.25772074250710353,0.05137425316575202,0.04846161019530449,0.05423395694221295,1788854.5,4.3558076025280205e-238,scipy_wilcoxon,1.7858811170364885e-236,True
top1_end_to_end_generation,original,exp_01,exp_06,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,2.212721290808076,0.4524264370530205,0.4298317818483407,0.4755512901944826,1549596.0,3.4914716095608734e-284,scipy_wilcoxon,1.5362475082067842e-282,True
top1_end_to_end_generation,original,exp_01,exp_07,ranking,R@1,R@1,True,4205,0.3065398335315101,0.0004756242568370987,0.306064209274673,0.2925089179548157,0.32009512485136743,645.0,2.0524481131134815e-281,scipy_wilcoxon,8.82552688638797e-280,True
top1_end_to_end_generation,original,exp_01,exp_07,ranking,R@5,R@5,True,4205,0.6639714625445897,0.007609988109393579,0.6563614744351962,0.6418549346016647,0.6711058263971462,11108.0,0.0,scipy_wilcoxon,0.0,True
top1_end_to_end_generation,original,exp_01,exp_07,ranking,R@10,R@10,True,4205,0.7988109393579073,0.016646848989298454,0.7821640903686088,0.7695600475624257,0.7947681331747919,21554.0,0.0,scipy_wilcoxon,0.0,True
top1_end_to_end_generation,original,exp_01,exp_07,ranking,rank,Rank,False,4205,7.9491082045184305,252.57003567181926,244.62092746730085,240.26063614744353,248.93183115338883,10789.0,0.0,scipy_wilcoxon,0.0,True
top1_end_to_end_generation,original,exp_01,exp_07,generation,bertscore_f1,BERTScore F1,True,4205,0.7525929961916099,0.7460421955968197,0.006550800594790228,0.004850727209331873,0.008228426466161091,3758521.0,6.793311801525777e-17,scipy_wilcoxon,1.3586623603051553e-15,True
top1_end_to_end_generation,original,exp_01,exp_07,generation,infolm_ab_divergence,InfoLM AB,False,4205,2.506864276716561,2.743027822806873,0.2361635460903121,0.18710550913430782,0.28541056473763105,3084541.0,2.6642492775670085e-18,scipy_wilcoxon,5.594923482890718e-17,True
top1_end_to_end_generation,original,exp_01,exp_07,generation,infolm_l2_distance,InfoLM L2,False,4205,0.2063464893413515,0.23464682002758938,0.02830033068623788,0.025688528446314522,0.03100009881499291,2525813.0,8.352571276552469e-64,scipy_wilcoxon,2.5057713829657406e-62,True
top1_end_to_end_generation,original,exp_01,exp_07,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,1.9723395494471623,0.212044695692107,0.18997974581007834,0.23363609978139688,2876517.5,6.654315640332277e-32,scipy_wilcoxon,1.5970357536797466e-30,True
