focal_exp,compare_exp,metric,metric_label,higher_is_better,n_pairs,focal_mean,compare_mean,mean_improvement_positive_is_focal_better,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_statistic,p_value_raw,wilcoxon_method,p_value_holm,significant_holm_0.05
exp_01,exp_04,R@5,R@5,True,4205,0.6639714625445897,0.4794292508917955,0.1845422116527943,0.16860879904875148,0.20023781212841854,165893.5,1.590165643730168e-103,scipy_wilcoxon,4.6114803668174874e-102,True
exp_01,exp_04,R@10,R@10,True,4205,0.7988109393579073,0.6361474435196195,0.16266349583828776,0.14768133174791914,0.17717598097502965,101898.5,1.8887599463822026e-97,scipy_wilcoxon,5.288527849870167e-96,True
exp_01,exp_04,rank,Rank,False,4205,7.9491082045184305,16.422116527942926,8.473008323424494,7.802122473246136,9.168174791914387,1261229.0,3.3947936731791046e-199,scipy_wilcoxon,1.2221257223444777e-197,True
exp_01,exp_04,bertscore_f1,BERTScore F1,True,4204,0.7748353447194444,0.7681843179901024,0.006651026729341919,0.005118991961644221,0.0081699091584894,3712765.5,4.932117838825539e-17,scipy_wilcoxon,6.411753190473201e-16,True
exp_01,exp_04,infolm_ab_divergence,InfoLM AB,False,4204,1.3923106425066085,1.66700174758607,0.27469110507946154,0.23541823330357037,0.31385356843313533,1013884.0,2.6316496930185723e-58,scipy_wilcoxon,5.263299386037145e-57,True
exp_01,exp_04,infolm_l2_distance,InfoLM L2,False,4204,0.13732338367122182,0.15998074802076914,0.022657364349547317,0.019941776705276977,0.025301768817799518,1002291.0,1.5533861833429866e-60,scipy_wilcoxon,3.572788221688869e-59,True
exp_01,exp_04,infolm_fisher_rao,InfoLM Fisher-Rao,False,4204,1.1495423241986065,1.3403207102937407,0.19077838609513412,0.16893070244264002,0.21314394503067846,980655.0,8.25804563820632e-65,scipy_wilcoxon,2.1470918659336432e-63,True
exp_01,exp_05,R@1,R@1,True,4205,0.3065398335315101,0.2806183115338882,0.02592152199762188,0.011414982164090369,0.04019024970273484,183714.0,0.0003093122696027181,scipy_wilcoxon,0.002783810426424463,True
exp_01,exp_05,R@5,R@5,True,4205,0.6639714625445897,0.6137931034482759,0.050178359096313914,0.03638525564803805,0.0637395957193816,146187.0,1.0410809020606165e-12,scipy_wilcoxon,1.2492970824727397e-11,True
exp_01,exp_05,R@10,R@10,True,4205,0.7988109393579073,0.7612366230677765,0.0375743162901308,0.02592152199762188,0.04922711058263971,74458.0,3.076562475891242e-10,scipy_wilcoxon,3.3842187234803664e-09,True
exp_01,exp_05,rank,Rank,False,4205,7.9491082045184305,9.611177170035672,1.6620689655172414,1.3065279429250893,2.006438763376932,1916246.0,2.5106729865294703e-22,scipy_wilcoxon,3.514942181141259e-21,True
exp_01,exp_05,bertscore_f1,BERTScore F1,True,4204,0.7748353447194444,0.7677901250183525,0.007045219701091864,0.004878472547967529,0.009293922938612049,4329145.5,0.6846624629436608,scipy_wilcoxon,1.0,False
exp_01,exp_05,infolm_ab_divergence,InfoLM AB,False,4204,1.3923106425066085,1.5394446209048034,0.14713397839819511,0.0935511667987192,0.20204051833854675,1106492.0,0.7153582758802479,scipy_wilcoxon,1.0,False
exp_01,exp_05,infolm_l2_distance,InfoLM L2,False,4204,0.13732338367122182,0.1503691462993526,0.013045762628130793,0.009132186109415005,0.01706795499759321,1098080.0,0.506321566486601,scipy_wilcoxon,1.0,False
exp_01,exp_05,infolm_fisher_rao,InfoLM Fisher-Rao,False,4204,1.1495423241986065,1.1636726985720613,0.014130374373454728,-0.0060827170395251545,0.034185626536213994,1114837.0,0.9464614444915479,scipy_wilcoxon,1.0,False
exp_01,exp_06,R@1,R@1,True,4205,0.3065398335315101,0.16956004756242568,0.13697978596908442,0.12128418549346016,0.15267538644470868,191943.5,1.3824322496452928e-61,scipy_wilcoxon,3.3178373991487026e-60,True
exp_01,exp_06,R@5,R@5,True,4205,0.6639714625445897,0.4604042806183115,0.20356718192627823,0.18668252080856124,0.21997621878715815,244887.5,8.048174596763065e-108,scipy_wilcoxon,2.4144523790289195e-106,True
